context,seed,training_pair,w_A_from_A,w_A_from_B,w_B_from_A,w_B_from_B
BA_context,1,150,0.12433882752395232,0.2095878049378217,0.0,0.12440661491396694
BA_context,1,175,0.12434834311435061,0.2006777169486215,0.0024260457288878077,0.1244019427617435
BA_context,1,200,0.12435918034912243,0.18681754644804086,0.013317858323720967,0.12439672001775363
BA_context,1,225,0.12435145569835516,0.20055600605209212,0.007824179446614198,0.12439967142415569
BA_context,1,250,0.12433996332071161,0.21017918314954143,0.0,0.12440574426875183
BA_context,1,275,0.12434598258762357,0.20860855496361363,0.007871363879549948,0.12440196780170974
BA_context,1,300,0.12434164448628558,0.21039114788684943,0.0,0.12440469320990503
BA_context,1,325,0.12433555074495244,0.21403304915692548,0.0,0.12440774822150649
BA_context,1,350,0.12435864684315492,0.19476205973458702,0.013317758454363511,0.12439576373864564
BA_context,1,375,0.12435043503865516,0.2024276326410116,0.007835154346924948,0.12440011096705562
BA_context,1,400,0.12436089618789405,0.19328230692536935,0.02591277170900168,0.12439385794359392
BA_context,2,0,0.0,0.0,0.0,0.0
BA_context,2,25,0.12245756292899253,0.16551830791263972,0.0,0.12313311076352283
BA_context,2,50,0.12432615989794625,0.18835255930877054,0.0022676347525130854,0.12438744227592154
BA_context,2,75,0.12433931746439922,0.20845945753239686,0.0,0.12440596429383959
BA_context,2,100,0.12433997499478547,0.2121096754675554,0.0,0.1244054191711287
BA_context,2,125,0.12434921547095565,0.2048322612703325,0.013317741143969547,0.12440028016608903
BA_context,2,150,0.12435574720299512,0.1966957648901357,0.011141037216141597,0.12439781445097768
BA_context,2,175,0.1243427537775794,0.2043577990442026,0.0,0.12440495696779114
BA_context,2,200,0.12434931115093598,0.19703889523905063,0.0023797820696409987,0.1244019458554516
BA_context,2,225,0.12434186248659858,0.2023541617380938,0.0,0.12440600442079139
BA_context,2,250,0.12435013496588497,0.20257768769949736,0.013317757804392042,0.12439995807489171
BA_context,2,275,0.12435097731172333,0.19623278490148985,0.0005844125058199878,0.12440131018272799
BA_context,2,300,0.12435444130772527,0.20020281806859916,0.015108242574071076,0.12439777544232024
BA_context,2,325,0.12434363787949033,0.2065239833862108,0.0,0.12440407923303796
BA_context,2,350,0.12433858910961819,0.20949850267600947,0.0,0.12440685854773029
BA_context,2,375,0.12433571367031208,0.2145208292464745,0.0,0.12440758228151243
BA_context,2,400,0.1243479904287437,0.20666454444476132,0.007859965824732711,0.12440108877068491
BA_context,3,0,0.0,0.0,0.0,0.0
BA_context,3,25,0.12260235259296766,0.1450768002421596,0.0,0.12306446298651053
BA_context,3,50,0.12431395129489271,0.19895090048863948,0.0,0.1243939459226888
BA_context,3,75,0.12435194326736083,0.19459571822514196,0.004917200615242935,0.12440049005130031
BA_context,3,100,0.12435348430845326,0.19134559699131143,0.004850285650803852,0.12440019975638333
BA_context,3,125,0.12434042987279983,0.20346550866726132,0.0,0.12440643881434686
BA_context,3,150,0.1243662826857714,0.19001197629285352,0.029107569510849026,0.12439101788572834
BA_context,3,175,0.124360770453824,0.1839409280051701,0.0223091493888805,0.12439636450762083
BA_context,3,200,0.1243346843540787,0.21390659043147256,0.0,0.12440815649091541
BA_context,3,225,0.12433660537941074,0.2143800950588016,0.0,0.12440711149305946
BA_context,3,250,0.12434491383079065,0.20507027223339733,0.0,0.12440375773138465
BA_context,3,275,0.12433508824233104,0.2146357116758013,0.0,0.12440789309575222
BA_context,3,300,0.12435366700392585,0.20110939194108868,0.007827248869226226,0.12439834854544118
BA_context,3,325,0.12433654105929942,0.21203137881450265,0.0,0.12440749677033637
BA_context,3,350,0.12434789567661832,0.20496790618164692,0.003672332844994055,0.12440201148302625
BA_context,3,375,0.12434520563064182,0.2097767804900722,0.007878183871326013,0.12440222610439315
BA_context,3,400,0.12433810995562647,0.20995437588336896,0.0,0.12440696117648353
BA_context,4,0,0.0,0.0,0.0,0.0
BA_context,4,25,0.12255945275192497,0.14190039590043116,0.013283467318843778,0.12307951741065985
BA_context,4,50,0.12433067175582674,0.18077628231772602,0.007707340503033955,0.12438562454483283
BA_context,4,75,0.1243379460523451,0.2080204376559627,0.0,0.12440682884683889
BA_context,4,100,0.12436524462117943,0.19590906930815422,0.032949939648452206,0.12439040604692461
BA_context,4,125,0.12435027331042925,0.20093528972419467,0.0024287958004691104,0.12440068930324832
BA_context,4,150,0.12434070658673174,0.20848202717364556,0.0,0.1244055593913712
BA_context,4,175,0.12435353833135532,0.2027680851083935,0.01513618490567498,0.12439802070855525
BA_context,4,200,0.12434644173631425,0.2030982278322343,0.0,0.12440300180687379
BA_context,4,225,0.12434486150997918,0.19928742154076065,0.0,0.1244045553340579
BA_context,4,250,0.12434694720081793,0.20848857812310137,0.013317702046405502,0.12440097407139705
BA_context,4,275,0.12435405885534984,0.19796115820053659,0.01560603352576486,0.12439949591959033
BA_context,4,300,0.12434054715152514,0.20920746113744498,0.0,0.12440557307872785
BA_context,4,325,0.12434444516242173,0.2061752334570814,0.0,0.12440362805976854
BA_context,4,350,0.12433716703381788,0.21220584053709549,0.0,0.1244071224609583
BA_context,4,375,0.12434632543383145,0.20133595778762936,0.0,0.12440328520282139
