deviant_position,roving_block,repetition,mean_single_block_gfp_0_180_ms
1,49,2,1.19212036929983
1,49,3,1.7216983315107102
1,49,4,1.4025726649181067
1,49,5,1.3007498369861503
1,49,6,1.9346013333263488
1,49,7,1.1423585122453992
1,49,8,1.3818027772128383
1,49,9,1.3714567314047914
1,49,10,1.342968916755417
1,49,11,1.1468715416472857
1,49,12,1.108812662740933
1,49,13,1.2243797670913747
1,49,14,1.5752167924113265
1,49,15,1.0773920364340368
1,50,1,1.2991968210605285
1,50,2,1.1795543726671516
1,50,3,2.091911351395811
1,50,4,1.4400292593915134
1,50,5,1.8792306478236964
1,50,6,1.5007917781278015
1,50,7,1.4301042915414093
1,50,8,0.8615215064211151
1,50,9,1.3287590708596362
1,50,10,1.1260714130808813
1,50,11,1.051635026605247
1,50,12,1.6372921497549195
1,50,13,1.0072854845893742
1,50,14,2.0365668810291306
1,50,15,1.5930327511118745
1,51,1,1.2643041387794283
1,51,2,1.093605028877032
1,51,3,1.357348952496704
1,51,4,1.3576453629292742
1,51,5,1.7103239729373234
1,51,6,1.5260081138040982
1,51,7,1.6179003412867266
1,51,8,1.191798254982724
1,51,9,1.124760668770249
1,51,10,1.00503194205124
1,51,11,1.2318418139275156
1,51,12,1.5112492881545911
1,51,13,1.4123876689545207
1,51,14,1.3470582927284038
1,51,15,1.8542803763687958
1,52,1,1.5056674302260367
1,52,2,1.504234135111419
1,52,3,1.5741078277865843
1,52,4,1.5718634851094433
1,52,5,1.2375511433733832
1,52,6,1.8866832216567322
1,52,7,1.3946322743918818
1,52,8,1.6789860331196176
1,52,9,1.5404313891199108
1,52,10,1.3087129493205563
1,52,11,1.425645374910257
1,52,12,1.0922971943361028
1,52,13,1.6806587037639547
1,52,14,1.6095667718886415
1,52,15,1.429881768035504
1,53,1,1.213061374688152
1,53,2,1.4710818270103825
1,53,3,1.7662988152593626
1,53,4,1.2420855661832262
1,53,5,1.3767171576467254
1,53,6,1.706952214569327
1,53,7,1.5767767248722768
1,53,8,1.529817713010966
1,53,9,1.1684109235233315
1,53,10,1.3159672326205842
1,53,11,1.8152877555428912
1,53,12,1.4232967021015988
1,53,13,1.5450683341566973
1,53,14,1.4519615135922859
1,53,15,1.0823694567239233
1,54,1,1.135761792800783
1,54,2,1.3021218588092307
1,54,3,1.4383402998243078
1,54,4,1.7155407372000744
1,54,5,0.8585519030668808
1,54,6,1.0765867752102334
1,54,7,1.0322034916397909
1,54,8,1.2761088028799084
1,54,9,1.6343143268818576
1,54,10,1.815556379543848
1,54,11,1.6260675131517976
1,54,12,0.9482179551481521
1,54,13,1.1293488092381418
1,54,14,1.425143765150255
1,54,15,1.0404511946834443
1,55,1,1.1788393752457438
1,55,2,1.5917593763896685
1,55,3,0.9536535370991314
1,55,4,1.382259523602813
1,55,5,1.552084900198869
1,55,6,1.5004476274893357
1,55,7,1.3471725806014998
1,55,8,1.1839164663666872
1,55,9,1.5530533050823467
1,55,10,1.1704984283312723
